ExperimentFolder,Sample,AlignmentFolder
/groups/kishony/tami/2015_11_TB/,P43-Eta-A1,794-eAA1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Eta-A2,794-eAA2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Eta-A3,794-eAA3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Eta-A4,794-eAA4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Eta-A5,794-eAA5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Eta-C1,794-eAC1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Eta-C2,794-eAC2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-A1,794-L1A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-A2,794-L1A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-A3,794-L1A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-A4,794-L1A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-A5,794-L1A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-B1,794-L1B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-B2,794-L1B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-B3,794-L1B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-B5,794-L1B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-C1,794-L1C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-C2,794-L1C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-C3,794-L1C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-C4,794-L1C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung1-C5,794-L1C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung3-B1,794-L3B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung3-B3,794-L3B3a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung3-B5,794-L3B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung4-A2,794-L4A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung4-A3,794-L4A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung4-A5,794-L4A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung4-B1,794-L4B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung4-B2,794-L4B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung4-B4,794-L4B4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung4-C2,794-L4C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung5-A1,794-L5A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung5-A2,794-L5A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung5-A3,794-L5A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung5-A4,794-L5A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung5-A5,794-L5A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung5-B1,794-L5B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung5-B3,794-L5B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung5-B5,794-L5B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P43-Lung5-C5,794-L5C5/sickle2050/pairedendtb
