ExperimentFolder,Sample,AlignmentFolder
/groups/kishony/tami/2015_11_TB/,P1-Eta,702-Aspb/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P2-Lung6,703-L6a/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P3-SerousFluid,705-SerF1a/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P4-Lung1,706-L1a/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P5-Lung3,707-L3a/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P6-Liver,708-Liva/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P7-Lung6,709-L6a/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P8-Lung6,710-L6a/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P9-Lung1,711-L1a/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P10-Eta,712-Etab/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P11-Lung1,713-L1/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P11-Spleen,713-Spl/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P12-Lung4,716-L4/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P13-Lung2-A2,717-L2A2/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P14-Lung3-A1,718-L3A1/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P15-Lung4-B3,719-L4B3/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P15-Liver-C5,719-LivC5/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P16-Lung4-C1,730-L4C1/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P17-Lung1-A2,731-L1A2/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P18-Lung3-C4,736-L3C4/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P19-Lung5-C4,737-L5C4a/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P20-Lung5-A2,738-L5A2a/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P21-Lung3-B2,739-L3B2/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P22-Lung1-A1,740-L1A1b/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P23-Lung3-C5,742-L3C5/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P24-SerousFluid-B1,746-SerFB1/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P25-Lung1-C5,747-L1C5/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P26-Lung3-B1,749-L3B1/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P27-Eta-A4,755-EtaA4/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P28-Eta-A3,757-EtaA3/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P28-Lung1-B4,757-L1B4b/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P29-Liver-B5,758-LivB5b/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P30-Lung1-A3,763-L1A3/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P31-Eta-C3,764-eAC3/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P32-Lung5-C4a,770-L5C4a/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P33-Lung4-C4,771-L4C4/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P34-Spleen-C1,775-SPLC1/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P35-Lung3-B2,780-L3B2/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P36-Liver-B3,781-LivB3/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P37-Lung5-C4,784-L5C4/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P37-Lung2-B2,784-L2B2/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P38-Lung5-B5,785-L5B5/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P39-Eta-B2,788-eAB2/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P40-Lung2-C5,789-L2C5/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P41-Lung6-A3,791-L6A3/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P42-Lung5-B3,792-L5B3a/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P43-Lung3-B1,794-L3B1/sickle2050/pairedendtb/
/groups/kishony/tami/2015_11_TB/,P44-Lung1-A2,796-L1A2/sickle2050/pairedendtb/
